data_id,AdaBoostClassifier(DecisionTreeClassifier),BernoulliNB,DecisionTreeClassifier,ExtraTreesClassifier,GradientBoostingClassifier,KNeighborsClassifier,MLPClassifier,RandomForestClassifier,SGDClassifier,SVC,MajorityClassSize,MaxNominalAttDistinctValues,MinorityClassSize,NumberOfClasses,NumberOfFeatures,NumberOfInstances,NumberOfInstancesWithMissingValues,NumberOfMissingValues,NumberOfNumericFeatures,NumberOfSymbolicFeatures
1480,0.6655231560891939,0.6432246998284734,0.6620926243567753,0.7186963979416809,0.6895368782161235,0.6775300171526587,0.6963979416809606,0.6998284734133791,0.6706689536878215,0.7135506003430531,416,2,167,2,11,583,0,0,9,2
1486,0.9636442768025532,0.8554475554910779,0.9482663571739444,0.9649499492238504,0.957377049180328,0.9556071376759032,0.9630639779486436,0.9646017699115044,0.945567967503264,0.9590018859712752,24621,3,9844,2,119,34465,0,0,89,30
1487,0.8973954222573007,0.6779794790844516,0.8989739542225731,0.9396211523283348,0.9415943172849249,0.9404104183109708,0.9408050513022888,0.9380426203630624,0.9214680347277032,0.9372533543804262,2374,2,160,2,73,2534,0,0,72,1
1489,0.8736121391561806,0.7581421169504071,0.8745373797187268,0.9030347890451518,0.8656550703182827,0.8830495928941525,0.8569578090303479,0.8937823834196891,0.7425980754996299,0.845299777942265,3818,2,1586,2,6,5404,0,0,5,1
1494,0.8056872037914693,0.7981042654028435,0.8066350710900474,0.8587677725118483,0.8644549763033176,0.8549763033175356,0.8824644549763033,0.8530805687203791,0.8350710900473933,0.8796208530805687,699,2,356,2,42,1055,0,0,41,1
1497,0.9950513196480938,0.6079545454545454,0.9948680351906158,0.9640762463343108,0.997067448680352,0.8696847507331378,0.936217008797654,0.99358504398827,0.6816348973607037,0.8887463343108505,2205,4,328,4,25,5456,0,0,24,1
1501,0.7463904582548649,0.8531073446327683,0.7514124293785308,0.8951663527934715,0.9303201506591336,0.9039548022598872,0.9334588826114252,0.8826114249843063,0.9089767733835532,0.9548022598870056,162,10,155,10,257,1593,0,0,256,1
1510,0.9314586994727592,0.9314586994727592,0.9314586994727592,0.9490333919156414,0.9613356766256592,0.968365553602812,0.9753954305799648,0.9490333919156414,0.9595782073813708,0.9736379613356766,357,2,212,2,31,569,0,0,30,1
1590,0.8321117071372999,0.7848572949510667,0.8162237418615126,0.8255394946971869,0.8674501453666926,0.8338520126120962,0.8442733712788174,0.8443962163711559,0.8485320011465542,0.8522378280987675,37155,41,11687,2,15,48842,3620,6465,6,9
4534,0.9723202170963364,0.9289914066033468,0.9650836725463592,0.9716870194482136,0.9498869289914066,0.9621890547263682,0.9713251922207148,0.97123473541384,0.935685210312076,0.945002261420172,6157,3,4898,2,31,11055,0,0,0,31
